question,para_question1,para_question2,answer
What is the tuition fee for the Computer Science branch at NMAM Institute of Technology?,What is the expense for studying Computer Science at NMAM Institute of Technology?,How much does it cost to enroll in the Computer Science course at NMAM Institute of Technology?,"The tuition fee for the Computer Science branch at NMAM Institute of Technology is INR 300,000 per annum for General category students and INR 350,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Artificial Intelligence & Data Science branch at NMAM Institute of Technology?,What is the expense for studying Artificial Intelligence & Data Science at NMAM Institute of Technology?,How much does it cost to enroll in the Artificial Intelligence & Data Science course at NMAM Institute of Technology?,"The tuition fee for the Artificial Intelligence & Data Science branch at NMAM Institute of Technology is INR 300,000 per annum for General category students and INR 350,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Artificial Intelligence & Machine Learning branch at NMAM Institute of Technology?,What is the expense for studying Artificial Intelligence & Machine Learning at NMAM Institute of Technology?,How much does it cost to enroll in the Artificial Intelligence & Machine Learning course at NMAM Institute of Technology?,"The tuition fee for the Artificial Intelligence & Machine Learning branch at NMAM Institute of Technology is INR 300,000 per annum for General category students and INR 350,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Computer Science (Cyber Security) branch at NMAM Institute of Technology?,What is the expense for studying Computer Science (Cyber Security) at NMAM Institute of Technology?,How much does it cost to enroll in the Computer Science (Cyber Security) course at NMAM Institute of Technology?,"The tuition fee for the Computer Science (Cyber Security) branch at NMAM Institute of Technology is INR 300,000 per annum for General category students and INR 350,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Computer Science (Full Stack Development specialization) branch at NMAM Institute of Technology?,What is the expense for studying Computer Science (Full Stack Development specialization) at NMAM Institute of Technology?,How much does it cost to enroll in the Computer Science (Full Stack Development specialization)  course at NMAM Institute of Technology?,"The tuition fee for the Computer Science (Full Stack Development specialization) branch at NMAM Institute of Technology is INR 350,000 per annum for General category students and INR 400,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Computer & Communication branch at NMAM Institute of Technology?,What is the expense for studying Computer & Communication  at NMAM Institute of Technology?,How much does it cost to enroll in the Computer & Communication course at NMAM Institute of Technology?,"The tuition fee for the Computer & Communication branch at NMAM Institute of Technology is INR 200,000 per annum for General category students and INR 250,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Biotechnology branch at NMAM Institute of Technology?,What is the expense for studying Biotechnology at NMAM Institute of Technology?,How much does it cost to enroll in the Biotechnology course at NMAM Institute of Technology?,"The tuition fee for the Biotechnology branch at NMAM Institute of Technology is INR 125,000 per annum for General category students and INR 150,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Civil branch at NMAM Institute of Technology?,What is the expense for studying Civil engineering at NMAM Institute of Technology?,How much does it cost to enroll in the Civil engineering course at NMAM Institute of Technology?,"The tuition fee for the Civil branch at NMAM Institute of Technology is INR 125,000 per annum for General category students and INR 150,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Electrical and Electronics branch at NMAM Institute of Technology?,What is the expense for studying Electrical and Electronics  at NMAM Institute of Technology?,How much does it cost to enroll in the Electrical and Electronics  course at NMAM Institute of Technology?,"The tuition fee for the Electrical & Electronics branch at NMAM Institute of Technology is INR 125,000 per annum for General category students and INR 150,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Electronics and Communication branch at NMAM Institute of Technology?,What is the expense for studying Electronics and Communication at NMAM Institute of Technology?,How much does it cost to enroll in the Electronics and Communication course at NMAM Institute of Technology?,"The tuition fee for the Electronics & Communication branch at NMAM Institute of Technology is INR 175,000 per annum for General category students and INR 200,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Electronics and Communication (Advanced Communication Technology) branch at NMAM Institute of Technology?,What is the expense for studying Electronics and Communication (Advanced Communication Technology) at NMAM Institute of Technology?,How much does it cost to enroll in the Electronics and Communication (Advanced Communication Technology) course at NMAM Institute of Technology?,"The tuition fee for the Electronics & Communication (Advanced Communication Technology) branch at NMAM Institute of Technology is INR 175,000 per annum for General category students and INR 200,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Electronics (VLSI Design & Technology) branch at NMAM Institute of Technology?,What is the expense for studying Electronics (VLSI Design & Technology) at NMAM Institute of Technology?,How much does it cost to enroll in the Electronics (VLSI Design & Technology) course at NMAM Institute of Technology?,"The tuition fee for the Electronics (VLSI Design & Technology) branch at NMAM Institute of Technology is INR 175,000 per annum for General category students and INR 200,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Information Science branch at NMAM Institute of Technology?,What is the expense for studying Information Science at NMAM Institute of Technology?,How much does it cost to enroll in the Information Science course at NMAM Institute of Technology?,"The tuition fee for the Information Science branch at NMAM Institute of Technology is INR 300,000 per annum for General category students and INR 350,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Robotics and Artificial Intelligence branch at NMAM Institute of Technology?,What is the expense for studying Robotics and Artificial Intelligence at NMAM Institute of Technology?,How much does it cost to enroll in the Robotics and Artificial Intelligence course at NMAM Institute of Technology?,"The tuition fee for the Robotics & Artificial Intelligence branch at NMAM Institute of Technology is INR 175,000 per annum for General category students and INR 200,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Mechanical branch at NMAM Institute of Technology?,What is the expense for studying Mechanical engineering at NMAM Institute of Technology?,How much does it cost to enroll in the Mechanical engineering course at NMAM Institute of Technology?,"The tuition fee for the Mechanical branch at NMAM Institute of Technology is INR 125,000 per annum for General category students and INR 150,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee per annum for the branch of Artificial Intelligence & Data Science for lateral entry students?,What is the expense for studying Artificial Intelligence & Data Science for lateral entry students at NMAM Institute of Technology?,How much does it cost to enroll in the Artificial Intelligence & Data Science for lateral entry students at NMAM Institute of Technology?,"The tuition fee per annum for the branch of Artificial Intelligence & Data Science for lateral entry is INR 120,000. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
How much is the tuition fee per annum for the branch of Biotechnology for lateral entry students?,What is the expense for studying Biotechnology for lateral entry students at NMAM Institute of Technology?,How much does it cost to enroll in the Biotechnology for lateral entry students at NMAM Institute of Technology?,"The tuition fee per annum for the branch of Biotechnology for lateral entry is INR 100,000. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee per annum for the branch of Computer Science for lateral entry students?,What is the expense for studying Computer Science for lateral entry students at NMAM Institute of Technology?,How much does it cost to enroll in the Computer Science for lateral entry students at NMAM Institute of Technology?,"The tuition fee per annum for the branch of Computer Science for lateral entry is INR 120,000. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
