question,para_question1,para_question2,answers
What is the campus address of NMAM Institute of Technology?,Where is NMAM Institute for Technology located?,Where is the location of the NMAM Institute for Technology?,"The campus address of NMAM Institute of Technology is: Nitte, Karkala Taluk, Udupi - 574110, Karnataka, India. For further details refer: https://nmamit.nitte.edu.in/contact-nmamit.php"
What is the contact phone number of NMAM Institute of Technology?,What is the telephone number for NMAM Institute of Technology?,How can I contact the NMAM Institute of Technology?,"The contact phone numbers for NMAM Institute of Technology are: +91 - 8258 - 281263 / 281264 / 281248 / 281461 / 281462 / 281463 / 281349, and +91 - 8258 - 281039. For further details refer: https://nmamit.nitte.edu.in/contact-nmamit.php"
What is the email address of the Director (CM & D) at NMAM Institute of Technology?,What is the email address of the Director of Communications and Development at NMAM Institute of Technology?,May I know the email address of the Director (CM and D) at NMAM Institute of Technology?,The email address of the Director (CM & D) at NMAM Institute of Technology is reg_nitte@nitte.edu.in. For further details refer: https://nmamit.nitte.edu.in/contact-nmamit.php
What is the email address of the Chief Warden at NMAM Institute of Technology?,Could you please provide me with the email address of the Chief Warden at NMAM Institute of Technology?,What is the NMAM Institute of Technology Chief Warden's email address?,The email address of the Chief Warden at NMAM Institute of Technology is chiefwarden@nmamit.in. For further details refer: https://nmamit.nitte.edu.in/contact-nmamit.php
What is the email address of the Exam office at NMAM Institute of Technology?,Could you please provide me with the email address of the Exam office at NMAM Institute of Technology?,What is the NMAM Institute of Technology Exam office email address?,The email address of the Exam office at NMAM Institute of Technology is coe.nmamit@nitte.edu.in. For further details refer: https://nmamit.nitte.edu.in/contact-nmamit.php
What is the email address of the Deputy Registrar (NDU) at NMAM Institute of Technology?,Could you please provide me with the email address of the Deputy Registrar (NDU) at NMAM Institute of Technology?,What is the NMAM Institute of Technology Deputy Registrar (NDU) email address?,The email address of the Deputy Registrar (NDU) at NMAM Institute of Technology is dreg@nitte.edu.in. For further details refer: https://nmamit.nitte.edu.in/contact-nmamit.php
What is the email address of the Public Relations Officer at NMAM Institute of Technology?,Could you please provide me with the email address of the Public Relations Officer at NMAM Institute of Technology?,What is the NMAM Institute of Technology Public Relations Officer email address?,The email address of the Public Relations Officer at NMAM Institute of Technology is krishnaraja@nitte.edu.in. For further details refer: https://nmamit.nitte.edu.in/contact-nmamit.php
What is the email address of the Student Welfare Officer at NMAM Institute of Technology?,Could you please provide me with the email address of the Student Welfare Officer at NMAM Institute of Technology?,What is the NMAM Institute of Technology Student Welfare Officer email address?,The email address of the Student Welfare Officer at NMAM Institute of Technology is shashikanth@nitte.edu.in. For further details refer: https://nmamit.nitte.edu.in/contact-nmamit.php
"Who is the placement head of NMAM Institute of Technology, and what are the email and phone number of the placement department at Nitte?",What is the contact information for the placement department at Nitte?,Who is the placement head at NMAM Institute of Technology and what is their email and phone number?,"Mr. Bharath G. Kumar is the placement head of NMAM Institute of Technology. The email of the placement department is placement.nmamit@nitte.edu.in, and the phone number is +91 9902414602. For more details please visit https://nmamit.nitte.edu.in/contact-nmamit.php"
who is the Counsellor of Abhyuday?,What is the name of the Counsellor of Abhyuday?,May I know who is the Counsellor of Abhyuday?,Mr. Ankith S Kumar is th counsellor of abhyuday
