questions,para_question1,para_question2,Answers
What are the eligibility criteria for BTech admission at this university?,What are the requirements for getting into NMAMIT BTech program?,What are the qualifications needed for BTech admission at this university?,"Candidates must have passed Class 12 or equivalent with a minimum of 45% aggregate marks in Physics, Mathematics, and Chemistry/Biotechnology/Biology/Computer Science/Electronics, with English as one of the languages of study. They should be at least 17 years old as of 31st December of the admission year.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
How can candidates apply for the NUCAT exam?,How do people apply for the NUCAT test?,How do applicants submit an application to take the NUCAT exam?,"Candidates can apply for the NUCAT exam by completing and submitting the Online NUCAT registration form available at apply.nitte.edu.in.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
What scholarships are available for NUCAT toppers?,Are there any scholarships available to NUCAT toppers?,What scholarships are there for NUCAT toppers?,"Toppers in NUCAT can avail scholarships ranging from 20%-40% of the prescribed fee.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
Who falls under the NRI category for BTech admission?,Who can apply to Btech admission as an NRI?,Who is considered an NRI for BTech admission?,"Foreign Nationals, PIOs, Overseas Citizens of India, candidates who passed Class 12 outside India, and those sponsored by parents/blood relatives having NRI status fall under the NRI category.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
How are seats allocated for NRI category candidates?,How many seats are there for NRI people?,How are seats allotted to candidates who fall under the NRI category?,"Seats are allocated based on the marks secured in the optional subjects in the qualifying examination for NRI category candidates.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
What documents are required for BTech admission?,What documents do we need to apply for a BTech?,What are the necessary documents required for BTech admission?,"Documents required include 10th and 12th standard pass certificates, transfer certificate, conduct certificate, migration certificate, eligibility certificate issued by Nitte University, physical fitness certificate, blood group certificate, Aadhaar card copy, and photographs.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
Are there any additional documents required for NRI candidates?,Do NRI students need any additional documents?,Are there extra documents needed for NRI applicants?,"Yes, additional documents for NRI candidates include valid Passport & Visa of parent/sponsor, residence proof, employment certificate of parent/sponsor, sponsorship certificate, and relationship certificate.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
What is the commencement period for BTech classes?,What is the start date of BTech classes?,When do the BTech classes start?,"The BTech classes typically commence in July/August as prescribed by the University.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
How can I check the fee structure for BTech programs?,How do I find out the fee structure for BTech programs?,How can I look up the BTech program fee schedule?,"The fee structure for both General & NRI categories can be found on the university's website under 'Program Fee'.For more information, visit https://nitte.edu.in/fee/BTECH.pdf"
Is there any age limit for BTech admission?,Do we have any age limit for BTech admission?,Is there a minimum age for Btech admission?,"Yes, candidates should have completed 17 years of age as on 31st December of the admission year.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
Can I apply for BTech admission if I have studied Class 12 outside India?,"If I have studied Class 12 outside India, can I apply for BTech admission?",Can I apply for admission to a BTech program if I studied my 12th grade outside of India?,"Yes, candidates who have studied Class 12 outside India are eligible for BTech admission.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
What is the minimum aggregate percentage required in pre-university for BTech admission?,May I know the minimum aggregate percentage in pre-university that is required for admission to the BTech program?,What is the minimum score needed in pre-university for BTech admission?,"Candidates must have a minimum aggregate of 45% marks in Class 12 or equivalent.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
Is there an entrance exam for NRI category candidates?,Do the NRI category candidate have to take an entrance exam?,Is there a separate entrance exam for NRI category applicants?,"No, NRI category candidates are admitted based on marks secured in the optional subjects in the qualifying examination.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
How many passport size photographs are required for admission?,How many pictures do you need for admission?,How many passport-sized photographs are required for the admission process?,"Five recent color photos with a white background (35mm x 45mm) and five stamp size photos (20mm x 25mm) are required for admission.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
Can I pay the fees in foreign currency for NRI category admission?,Can I pay for NRI category admission in foreign currency?,Are the fees payable in foreign currency for NRI category admission?,"Yes, fees can be paid in foreign currency or INR from the NRE account of the sponsor for NRI category admission.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
What is the process for obtaining an eligibility certificate from Nitte University?,How can I obtain an eligibility certificate from Nitte University?,What is the procedure for obtaining an eligibility certificate from Nitte University?,"The process for obtaining an eligibility certificate will be handled by Nitte University.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
How can I submit the admission enquiry form for NRI category admission?,What is the procedure for submitting the admission inquiry form for admission in the NRI category?,How can I submit the admission inquiry form for NRI category applicants?,"Candidates seeking admission under the NRI category can submit the Admission Enquiry form available on apply.nitte.edu.in.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
What is the last date for submitting the NUCAT registration form?,When is the last day to submit the NUCAT registration form?,What is the deadline for submitting the NUCAT registration form?,"The last date for submitting the NUCAT registration form will be mentioned on the university's website.For more information, visit https://nmamit.nitte.edu.in/admissions.php"
