questions,para_question1,para_question2,Answers
What is the full form of NUCAT?,What's the full meaning of NUCAT?,What does NUCAT stand for?,Nitte University Common Admission Test. For more information please visit the following link https://nucat.nitte.edu.in/
Is there an application fee for NUCAT?,Does NUCAT have an application fee?,Is there a fee for applying to NUCAT?,A non-refundable fee of Rs. 1100/- has to be paid through Credit Card / Debit Card / Net Banking / UPI Payment Modes etc. For more information please visit the following link https://nucat.nitte.edu.in/
Will the registration fee be refunded if I do not take the Test?,Can I get my money back if I don't take the NUCAT test?,"If I do not take the NUCAT test, will the registration fee be refunded?",No. For more information please visit the following link https://nucat.nitte.edu.in/
When is the last date for registering for NUCAT?,When is the last date for registration for NUCAT?,What is the deadline for registering for NUCAT?,NUCAT will be conducted in 3 phases. Please go through the Schedule on nucat.nitte.edu.in. For more information please visit the following link https://nucat.nitte.edu.in/
I need to make corrections / modifications in my NUCAT application form. How can I do it?,I need to fix or update my NUCAT application form. What should I do?,I need to update or change my NUCAT application form. How can I do that?,"Any correction required in the application form, may be emailed to info@nitte.edu.in within 2 days of registration. For more information please visit the following link https://nucat.nitte.edu.in/"
What is the pattern of NUCAT?,What is the structure of NUCAT?,What is the format of the NUCAT?,"40 questions each from Physics, Chemistry and Mathematics sections i.e. a total of 120 questions of 1 mark each to be answered in 120 minutes. For more information please visit the following link https://nucat.nitte.edu.in/"
How many times can I attempt NUCAT?,Can I try NUCAT more than once?,How many attempts can I make at the NUCAT?,"A candidate can write the Test a maximum of 3 times, on payment of Registration Fee for each Test. Highest score will be considered for the ranking. For more information please visit the following link https://nucat.nitte.edu.in/"
Where can I find the Question Bank of NUCAT?,Where do I find the NUCAT Question Bank?,Where can I access the NUCAT Question Bank?,Question bank is not provided as this is only the third year of NUCAT. For more information please visit the following link https://nucat.nitte.edu.in/
What is the syllabus for NUCAT?,What is the NUCAT syllabus?,What is the subject matter covered in the NUCAT?,The syllabus will be equivalent to that of Class 11 & 12 CBSE / State Board curriculum. The syllabus is provided in detail on nucat.nitte.edu.in. For more information please visit the following link https://nucat.nitte.edu.in/
Is there any negative marking in NUCAT?,Does NUCAT give negative marks for wrong answers?,Is there any deduction for incorrect answers in NUCAT?,No. There is no negative marking. For more information please visit the following link https://nucat.nitte.edu.in/
How is the Rank decided in case of a tie?,How is the rank determined if there is a tie?,How is the position determined in the event of a draw?,"In case more than one candidate secures the same total marks, inter-se-merit will be determined on the basis of section scores in the following order: 1. Physics 2. Mathematics 3. Chemistry If there is a tie even after considering the section scores, inter-se-merit will be determined on the basis of Class 10 marks in the following order. 1. Science 2. Mathematics. For more information please visit the following link https://nucat.nitte.edu.in/"
Can I qualify for admission to BTech through CET/COMEDK?,Can I apply for admission to BTech through CET/COMEDK?,May I be eligible for admission to the BTech program through CET/COMEDK?,No. NUCAT is the only Entrance Test for admission to BTech at NMAMIT. For more information please visit the following link https://nucat.nitte.edu.in/
Do you have any management / reservation/ donation quotas?,"Are there any management, reservation, or donation quotas you have?",Do you have any management / reservation/ donation quotas?,"No. Besides General category, we have an Inclusivity category where 10% seats are earmarked for students who have passed Class 12 in India but outside the State of Karnataka. These students are also required to take NUCAT. In addition, we have the NRI category which is open to PIOs / Foreign Nationals / Students who have passed Class 12 abroad / Students who have passed Class 12 in India but sponsored by NRI parents or blood relatives. For more information please visit the following link https://nucat.nitte.edu.in/"
Can I avail any scholarships?,Are there any scholarships available?,Are there any financial aid or scholarships available?,"Nitte University offers Freeships amounting to full waiver of tuition fee for B.Tech aspirants on a merit-cum-means basis as per AICTEÕs Tuition Fee Waiver (TFW) Scheme subject to fulfilling all the conditions laid down by the University. All Government scholarships and Community-based organisations sponsored scholarships can also be availed, if eligible. For more information please visit the following link https://nucat.nitte.edu.in/"
How will I come to know if I am allotted a seat?,How will I be notified if I have been allocated a seat?,How will I be informed if I have been allocated a seat?,"The NUCAT Rank will be announced on the Test platform (nucat.codetantra.com). In-person Counselling will be conducted at N.M.A.M. Institute of Technology, Nitte for filling the seats in each of the programs, based on the NUCAT 2024 Ranks. The dates, schedule and procedural details for counselling will be announced on the website nucat.nitte.edu.in. For more information please visit the following link https://nucat.nitte.edu.in/"
What is the amount payable to confirm the admission?,May I know the amount required to confirm admission?,What is the fee required to finalize the admission?,Annual fee for the allotted program will have to be paid for confirmation of admission on the date of counselling. For more information please visit the following link https://nucat.nitte.edu.in/
What if I want to withdraw from my confirmed admission?,What is the procedure if I wish to withdraw from my confirmed admission?,What happens if I decide to withdraw from my confirmed admission?,"Students are required to report at the college for cancellation of seat & refund of fee. A processing fee of Rs. 10,000/- will be deducted from the fee paid for withdrawal up to 30 days from the date of class commencement. No refund can be claimed after 30 days of class commencement. For more information please visit the following link https://nucat.nitte.edu.in/"
"Will I be able to upgrade my branch, if there are vacancies?","If there are any vacancies in my branch, will I be able to upgrade?",Can I switch my branch if there are openings?,Yes. For more information please visit the following link https://nucat.nitte.edu.in/
Will Class 12 marks be considered while allotting the ranks in NUCAT?,Are class 12 marks considered when allocating NUCAT ranks?,Will my Class 12 grades be taken into account when ranking candidates in NUCAT?,No. Ranking is based on NUCAT score. For more information please visit the following link https://nucat.nitte.edu.in/
Do I need to download any app for the Test?,Is it necessary for me to download any application in order to participate in the Test?,Do I need to install any software for the Test?,Yes. You will be informed about the same after registration via email (support@codetantra.com). For more information please visit the following link https://nucat.nitte.edu.in/
Whom should I contact if I am unable to download the Secure Exam App?,Who should I contact if I am having difficulty downloading the Secure Exam App?,Who should I reach out to if I encounter issues downloading the Secure Exam App?,"For technical support regarding NUCAT: Telephone: +91 7995417777 / +91 6305007479 / +91 6305008997, E-mail: support@codetantra.com. You may also contact +91 8147837382 or nucat@nitte.edu.in. For more information please visit the following link https://nucat.nitte.edu.in/"
