question,para_question1,para_question2,answer
When was the Department of Mechanical Engineering at NMAMIT established?, When was the Mechanical Engineering Department at NMAMIT founded?,What is the founding date of the Department of Mechanical Engineering at NMAMIT?,The department was established in the year 1986. For more details visit https://nmamit.nitte.edu.in/department-mechanical.php
What is the current annual graduating strength of undergraduate students in the department?,How many undergraduate students in the Mechanical Engineering Department graduate each year?,What is the current yearly number of undergraduate students graduating from the department?,Approximately 180 students graduate annually. For more details visit https://nmamit.nitte.edu.in/department-mechanical.php
What is the vision of the Department of Mechanical Engineering?,What is the Department of Mechanical Engineering's vision statement?,What are the long-term goals of the Department of Mechanical Engineering?,"The vision is to produce Mechanical engineers of the highest quality who are professionally competent and highly qualified to suit the needs of industries and organizations by promoting excellence in teaching, learning, and research. For more details visit https://nmamit.nitte.edu.in/department-mechanical.php"
What is the mission of the Department of Mechanical Engineering?, What is the mission statement of the Department of Mechanical Engineering?,What are the short-term objectives of the Department of Mechanical Engineering?,"The mission includes providing high-quality education to students to fulfill the requirements of a 'Global Engineer', constantly improving teaching-learning methods, responding to fast-evolving scientific and technological challenges, and inculcating ethics, integrity, honesty, credibility, social, and environmental consciousness. For more details visit https://nmamit.nitte.edu.in/department-mechanical.php"
What is the syllabus for Autonomous 3rd year in mechanical Engineering?, What is the curriculum for the third year of the Autonomous program in Mechanical Engineering?,What are the course contents for the 3rd year Autonomous course in mechanical Engineering?,The syllabus for Autonomous 3rd year in mechanical Engineering is provided in the college website or you can refer https://nmamit.nitte.edu.in/syllabus/mec/V-VI-Mech.pdf. For more details visit https://nmamit.nitte.edu.in/department-mechanical.php
What is the syllabus for Autonomous 4th year in mechanical Engineering?, What is the curriculum for the fourth year of the Autonomous program in Mechanical Engineering?,What are the course contents for the 4th year Autonomous course in mechanical Engineering?,The syllabus for Autonomous 4th year in mechanical Engineering is provided in the college website or you can refer https://nmamit.nitte.edu.in/syllabus/mec/VII&VIII-Mech.pdf. For more details visit https://nmamit.nitte.edu.in/department-mechanical.php
What is the syllabus for NDU or Nitte Deemed University for year 2022-2026 in mechanical Engineering?, What is the curriculum for the Mechanical Engineering program at NDU or Nitte Deemed University for the academic years 2022-2026?,What are the course contents for the mechanical Engineering program at NDU or Nitte Deemed University for the academic years 2022-2026?,The syllabus for NDU or Nitte Deemed University for year 2022-2026 in mechanical Engineering is provided in the college website or you can refer https://nmamit.nitte.edu.in/syllabus/ndu/2022-26/B.Tech._ME_Regulations_2022.pdf. For more details visit https://nmamit.nitte.edu.in/department-mechanical.php
What is the syllabus for NDU or Nitte Deemed University for 2023-2027 : PSU 2+2 in mechanical Engineering?,"What is the curriculum for the Mechanical Engineering program at NDU or Nitte Deemed University for the academic years 2023-2027, specifically for the PSU 2+2 program?","What are the course contents for the mechanical Engineering program at NDU or Nitte Deemed University for the academic years 2023-2027, under the PSU 2+2 scheme?",The syllabus for NDU or Nitte Deemed University for 2023-2027 : PSU 2+2 in mechanical Engineering is provided in the college website or you can refer https://nmamit.nitte.edu.in/syllabus/ndu/2023-27/BTech%20-%20ME_Regulations_2023.pdf. For more details visit https://nmamit.nitte.edu.in/department-mechanical.php
What is the syllabus for NDU or Nitte Deemed University for 2023-2027 in mechanical Engineering?,What is the curriculum for the Mechanical Engineering program at NDU or Nitte Deemed University for the academic years 2023-2027?,What are the course contents for the mechanical Engineering program at NDU or Nitte Deemed University for the academic years 2023-2027?,The syllabus for Autonomous NDU or Nitte Deemed University for 2023-2027 in mechanical Engineering is provided in the college website or you can refer https://nmamit.nitte.edu.in/syllabus/ndu/2023-27/BTech%20-%20ME_Regulations_2023_ndu.pdf. For more details visit https://nmamit.nitte.edu.in/department-mechanical.php
What is the syllabus for NDU or Nitte Deemed University for Minor Degree - Automotive Engineering in mechanical Engineering?,What is the curriculum for the Minor Degree in Automotive Engineering within the Mechanical Engineering program at NDU or Nitte Deemed University?,What are the course contents for the Automotive Engineering minor degree program at NDU or Nitte Deemed University?,The syllabus for Autonomous NDU or Nitte Deemed University for Minor Degree - Automotive Engineering in mechanical Engineering is provided in the college website or you can refer https://nmamit.nitte.edu.in/syllabus/ndu/MinorDegree/MinorDegree-AutomativeEngineering.pdf. For more details visit https://nmamit.nitte.edu.in/department-mechanical.php
